label,text,clean_text_adv
pos,"Morning msgs :)
* love in the air * http://t.co/0OSByKav77",morning msg love air
neg,This taxi is emptier than Ciara's concert :(,taxi emptier ciaras concert
pos,@BhaktisBanter u look angel in this one @PallaviRuhail :) #FlipkartFashionFriday http://t.co/aT0iSMP0XI,bhaktisbanter u look angel one pallaviruhail flipkartfashionfriday
neg,:((((((( this is so sad i cwnt help it  https://t.co/glBmiAAJ79,sad cwnt help
neg,@JamesMorrisonOK what about Leeds? I wanna see you live again :(,jamesmorrisonok leeds wan na see live
neg,@jairaabells I won't be around tom. :(,jairaabells around tom
pos,@eskie_pond Glad you like it :),eskiepond glad like
pos,I just want to look good for you :),want look good
neg,my layout doesn't match but it's the closest I could find for my header :( someone help,layout match closest could find header someone help
pos,Good morning all! Have a fab Friday! :),good morning fab friday
pos,"@grillo_23 @sleepyjoe2 @Karnage90 @RichardDawkins Dear person, please study before embarrassing urself. Entropy works 100% w/ evolution :)",grillo23 sleepyjoe2 karnage90 richarddawkins dear person please study embarrass urself entropy work 100 w evolution
pos,@craftbeercoll I have in the past. A hoodie covers a lot of sins. :),craftbeercoll past hoodie cover lot sin
neg,"This weather has me scrolling through my contacts of people I've curved on some ""hey you 😉"" sigh* :(",weather scroll contact people curve hey 😉 sigh
pos,prelims exam tomorrow :-) #costacc  @AcctncyProblems http://t.co/DF1aXAAzg2,prelim exam tomorrow costacc acctncyproblems
neg,@ManLikeSergio Delphy Injured :(,manlikesergio delphy injure
pos,i'm in amsterdam guys wooo :D,amsterdam guy wooo
pos,@SullensScarlett thanks for tweeting about me :),sullensscarlett thanks tweet
pos,i was so anxious i was shaking and my dad was like calm down and then well apparently only 10:30 right :),anxious shake dad like calm well apparently 1030 right
pos,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),zaynzaynmalik30 follow jnlazts amp follow u back
pos,@mistytewest Happy to save the day :) Hope you enjoyed your meal Sam!,mistytewest happy save day hope enjoy meal sam
pos,"@SwgGuy Hah.... :D
Don't say sorry...",swgguy hah say sorry
neg,"Poor SBENU :&lt; SaSin wasn't happy at all... As the best player on his team.. :(
But Anarchy~~~ :3 &lt;3",poor sbenu lt sasin happy best player team anarchy 3 lt3
neg,Too bad I'm poor :( https://t.co/FohWp4P0NN,bad poor
pos,@brtoon  thank you :) out and about there this weekend so will try my best :) !,brtoon thank weekend try best
neg,"#Discrimination :-( Maternity discrimination: When I needed my boss, he kicked me in teeth - ... http://t.co/2WT4YyMNWz #UniteBlue #Tcot",discrimination maternity discrimination need bos kick teeth uniteblue tcot
pos,@hugopleclercq followed already! Thanks! :),hugopleclercq follow already thanks
neg,"pret :(( wkwkw""@WLK_Jhope: Verfied @WLK_Hyemi91 be active, don't forget to follow all member. Thanks for join. Goodbye""",pret wkwkwwlkjhope verfied wlkhyemi91 active forget follow member thanks join goodbye
pos,"I also catch heck from a lot of gun haters who try to associate my guns to my, um, endowments....
I have very rude responses
:)

@HDiddyNZ",also catch heck lot gun hater try associate gun um endowment rude response hdiddynz
pos,"@voteforbabe go first on @/LSceens and I'll give extras, tweet when done :)",voteforbabe go first lsceens give extra tweet do
neg,can't announce cool show today so wait until monday thanks :(,announce cool show today wait monday thanks
pos,final grade for my class :-) http://t.co/YRytmftXPv,final grade class
neg,@LaveeKaif urgh i know :(,laveekaif urgh know
neg,@OpTic_Mochila These are not facts bro :(,opticmochila fact bro
neg,"@platinumgames why is this not on Wii U, did Bayonetta 2 and The Wonderful 101 really sell so poorly? :(",platinumgames wii u bayonetta 2 wonderful 101 really sell poorly
neg,I just want to get paid already :(,want get pay already
neg,@joyce_gleek Sorry poooo. :(,joycegleek sorry poooo
pos,@vinkaazzahp always for you :),vinkaazzahp always
pos,Collection..:) http://t.co/q6s9MrnVXd #retweet,collection retweet
neg,I still really miss my purple hair tie :( https://t.co/pqBSDisZQa,still really miss purple hair tie
pos,Hellooooooooo Friday! We meet again! :) Almost the weekend! :),hellooooooooo friday meet almost weekend
neg,@RebelGirl1323 :( Well try to do something to keep your mind off all the bad things. We're always here for you,rebelgirl1323 well try something keep mind bad thing always
neg,@Herreraholic no I don't :(. I just unfollowed like 300 people cause following over 1k people was difficult,herreraholic unfollowed like 300 people cause follow 1k people difficult
pos,@BarbieDevotees lyka follow back na :),barbiedevotees lyka follow back na
neg,@gulermaanb @sir_mancio amin :(,gulermaanb sirmancio amin
neg,@wonwoolipseu :((((((((((((((((( iTS OK!!,wonwoolipseu ok
pos,@jaynehh_ you just need a job and get a letter from your work place saying you work there and a letter from your parents approving :-),jaynehh need job get letter work place say work letter parent approve
pos,"@EllieVond @SkeletonSweets @Justin_Naito @justcallmerizzo No actually, you don't. Bye bye indeed. Go take your drama elsewhere. :)",ellievond skeletonsweets justinnaito justcallmerizzo actually bye bye indeed go take drama elsewhere
pos,@JaneFrankland you bet! Planning a secret baby shower for Chloe! I can say it here because she barely knows what a computer is :D!,janefrankland bet planning secret baby shower chloe say barely know computer
neg,"how have you been, sheriff? i haven't seen you in aaaaaaaaaaa a aaaaages :((",sheriff see aaaaaaaaaaa aaaaages
pos,#ff @CapeLondonWine @stanstedchamber @iconic_pr @Its_an_airline @Martelsbusvill Have a great day everyone :-),ff capelondonwine stanstedchamber iconicpr itsanairline martelsbusvill great day everyone
neg,@dumplinghoya I've been wanting to change it to only woohyun one but sunggyu makes me feel guilty :(,dumplinghoya want change woohyun one sunggyu make feel guilty
neg,@Shannon_Rawrx I wish I was there with you. It would beat being home with a numb mouth after a dentist visit! :(,shannonrawrx wish would beat home numb mouth dentist visit
neg,Can I just call into work :(,call work
neg,I still don't want Harriet to leave though :((((((,still want harriet leave though
pos,@Bruneluni ive emailed you regarding course query! :),bruneluni ive email regard course query
neg,Take me to ice creamist pleaseeeee!:(,take ice creamist pleaseeeee
pos,http://t.co/36Wal3Tkwc thanks for following!! Enjoy my tweets! :) lets be friends! Ambre Suzan 268 4,thanks follow enjoy tweet let friend ambre suzan 268 4
neg,Craving chicken wings :(,crave chicken wing
pos,"@Susansuzt @SimonBedford Ta, same to you both :)",susansuzt simonbedford ta
neg,Ufffff Sr Dard :( — drinking green tea,ufffff sr dard drink green tea
pos,Yaaay I get to see my bff tomorrow :),yaaay get see bff tomorrow
neg,Like why did you have to join the marines? :-(,like join marine
neg,No extensions :(,extension
pos,Want to say a huge thanks to @WarriorAssaultS @uktac @BolleSafety @Mechanix_Wear @Airtech_Studios @Hexmags #FF Thanks for the support :),want say huge thanks warriorassaults uktac bollesafety mechanixwear airtechstudios hexmags ff thanks support
pos,@TomParker oh wow!! That is beautiful tom :),tomparker oh wow beautiful tom
neg,@GutterdogUK I am ashamed at my language :(!,gutterdoguk ashamed language
neg,But I'm still hoping :( #ZaynIsComingBackOnJuly26,still hop zayniscomingbackonjuly26
pos,"!! Quick notice regarding requests. Our DM is now open for people to request moments/ideas for tweets, thank you :) http://t.co/joEpeCsq29",quick notice regard request dm open people request momentsideas tweet thank
pos,"Same :)
https://t.co/JA8FUggJwT",
neg,"@biobio1993 ohh. :( well, you know where to find me if you change your mind. (but maybe it's not even someone I'm close with so... xD)",biobio1993 ohh well know find change mind maybe even someone close xd
pos,"Thanks mommy teret for this :) (Y) :) #Potassium #Rehydrate #DrinkitAllup #ThirstQuencher https://t.co/uLORa2tssO",thanks mommy teret potassium rehydrate drinkitallup thirstquencher
pos,Thank you. Have a lovely weekend everyone. :-)) https://t.co/1CcpcLlzic,thank lovely weekend everyone
neg,@FATMA_TEARS me too :(,fatmatears
pos,@goldennotebook @JohnEMichel @kellyalovell Thanks Lisa :),goldennotebook johnemichel kellyalovell thanks lisa
neg,My KIK - thessidew877 #kik #kikmeguys #FaceTime #omegle #Bored #quote #sexi :( http://t.co/ikWtd54Om2,kik thessidew877 kik kikmeguys facetime omegle bore quote sexi
pos,@TheYingster @cristianavai3 @AFCGraMaChroi @Goonerlover69 @iWaveBack Lol it's very tiring being this good looking. :),theyingster cristianavai3 afcgramachroi goonerlover69 iwaveback lol tire good look
pos,"If you're reading this, you're beautiful. 
Like this if you just read this :)",read beautiful like read
pos,@mullingfrackle fback? :),mullingfrackle fback
neg,@iperfectyonce @justinbieber its my biggest dream can u follow me brooo :((((,iperfectyonce justinbieber big dream u follow brooo
neg,So this is Heartache? :(,heartache
neg,@Brooklyyyyyyyn :( okay this is the worst,brooklyyyyyyyn okay bad
pos,"@JessLarum @mdoyle08 haha WHATEVS, JESS! we all know you thought surry hills was near botany! :)",jesslarum mdoyle08 haha whatevs jess know think surry hill near botany
pos,"@AndyHerren I know how dumb, did she think of that on her own. But Johnny does rock have u seen his utube video's?  Mad Respect! :D",andyherren know dumb think johnny rock u see utube video mad respect
pos,@HannesHolste thank you for making my tweet a favourite :-),hannesholste thank make tweet favourite
pos,@mrslatrisha @KFerrellWriter http://t.co/KmhdqcIWdm :)  -Mary,mrslatrisha kferrellwriter mary
neg,@changkyunaf AHH WHY HE NO CHANGE IT SOUNDS COOLER :(( LMAO YES 2 MINHYUKS,changkyunaf ahh change sound cool lmao yes 2 minhyuks
pos,@NotThatBobJames Hahaha Go Doug! :-),notthatbobjames hahaha go doug
neg,:( :( I'm gonna cry,gon na cry
neg,Really don't like Demi's new song/ video :(,really like demis new song video
neg,"Valentine et al found r'ships btwn homo/biphobic comments &amp; certain disciplines - incl. European langs, lit, education :( #fresherstofinals",valentine et al find rships btwn homobiphobic comment amp certain discipline incl european langs lit education fresherstofinals
neg,Well it's absolutely chuckin it down in 'ampsha :( #Rain #Rain #Rain,well absolutely chuckin ampsha rain rain rain
pos,"@SazzylSquires Thank you very much lovely, I'm really pleased you did :)",sazzylsquires thank much lovely really pleased
neg,Finding a good conference hotel in London is tricky! They are all too small :(,find good conference hotel london tricky small
pos,@gculloty87 @linda_regan @retrodramafans Yeah! She plays the pretty girl at the bus stop :) X,gculloty87 lindaregan retrodramafans yeah play pretty girl bus stop x
pos,@jackgilinsky Hiii Jack :) ily ✨✨✨,jackgilinsky hiii jack ily ✨✨✨
pos,"Yup, happen everywhere when people cant debate they come to name calling :-)  https://t.co/dRiMWpj7ON",yup happen everywhere people cant debate come name call
neg,"@Cro_Marta FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",cromarta follow thanks justinbieber please follow
pos,@StephanieAlys That's great Stephanie! Good luck with your training :) #findyourfit,stephaniealys great stephanie good luck training findyourfit
pos,@iretrogame @RetroGamerProbs @RETR0JOE @gamesyouloved @JuicyGameReview nice to see some emulation being brought up :),iretrogame retrogamerprobs retr0joe gamesyouloved juicygamereview nice see emulation bring
pos,With them :),
pos,@riiiyyaaaaa oKKay :)),riiiyyaaaaa okkay
neg,Why does it have to rain :(,rain
neg,Someone sc me :(,someone sc
neg,No one is brave enough to watch all my snapchat story :(,one brave enough watch snapchat story
pos,Low priority match :) hahaha,low priority match hahaha
neg,@nicefurby my dad said no sorry :(,nicefurby dad say sorry
pos,I'd planned to do a nice scamper but I slept through my alarm. For two hours. I suppose I needed the sleep so I ain't mad :),would plan nice scamper sleep alarm two hour suppose need sleep mad
neg,I'm  thirstyyyy :(,thirstyyyy
pos,Wacky :D https://t.co/UThCcBQnKD,wacky
pos,"I'm not the best, not the most perfect, but I promise to love you with my whole heart. :)",best perfect promise love whole heart
neg,@angelhairhes i dont have snapchat :(,angelhairhes dont snapchat
pos,@ShawnMendes turning 17 in 15 days...omg. at least we have only 3 years difference :),shawnmendes turn 17 15 daysomg least 3 year difference
neg,Sending. Finally!!!!!!!!!!!!!! :(,send finally
pos,#FF #HappyFriday @szekifer @phattony138 @djchiavistelli @DJ_CharlieD @Paul___Rayner the weekend is nearly here :-),ff happyfriday szekifer phattony138 djchiavistelli djcharlied paulrayner weekend nearly
pos,#welcomeTweet @VortexiK13 @urbndictionaryy @noralewis25 hi! thanks for following! just ask for a follow back :-) via http://t.co/ubXKOjpBez,welcometweet vortexik13 urbndictionaryy noralewis25 hi thanks follow ask follow back via
neg,@TheStonePilot sorry :(,thestonepilot sorry
pos,@AwesomeAngel40 Congratulations :-) x,awesomeangel40 congratulation x
neg,"More sick Mumma, sick Bubba cuddles :(  Cuddling on the floor to the footy and she falls asleep.… https://t.co/to6pXX7iuU",sick mumma sick bubba cuddle cuddle floor footy fall asleep
neg,GUYS add my KIK - thelock76 #kik #kiksexting #sex #omegle #couple #travel #hotgirls :( http://t.co/Dn6agZcPhd,guy add kik thelock76 kik kiksexting sex omegle couple travel hotgirls
neg,@AYINAJ__ why you only got half :(((,ayinaj get half
pos,@neiltyson What are your thought's on Kepler 452b? :D,neiltyson thought kepler 452b
pos,@ffsjason I'm not. datz you. :-),ffsjason datz
neg,"@ITVCentral #Midlands Yes thanks for the depressing weather forecast, where the word 'rain' was mentioned several times :-(",itvcentral midland yes thanks depress weather forecast word rain mention several time
pos,"@JewelStaite Funny, but yes too soon. It's always going to be too soon. :D",jewelstaite funny yes soon always go soon
neg,To com insonia :(,com insonia
neg,Looks like it's finally time to get rid of the old 2500k :( https://t.co/WvQhzYxJuc,look like finally time get rid old 2500k
neg,omg me every fucking month... :( https://t.co/FX0CGVPDMX,omg every fuck month
pos,@starksmurdock AHH THANK U :D,starksmurdock ahh thank u
pos,@KatCrisp1 Thanks for taking time to tweet this Kat :),katcrisp1 thanks take time tweet kat
neg,@AfraidN0T then it might be hard to get into Final Fantasy then cause the newer ones are pish in comparison :( get the remastered 10 for ps4,afraidn0t might hard get final fantasy cause new one pish comparison get remastered 10 ps4
neg,@VoxHiberionacum It most certainly is a theme issue - but we've tested on a range of devices w/ different browsers and OS :-(,voxhiberionacum certainly theme issue test range device w different browser os
neg,@ashtonboyf IMS OSAD :-(,ashtonboyf ims osad
neg,i thought this is my best day but it's not. no paper towns today :(,thought best day paper town today
neg,my eyes want to sleep but the rest of me doesn't. :( This is bad.,eye want sleep rest bad
pos,@GemfeedOfficial Thanks for retweet :),gemfeedofficial thanks retweet
pos,"*on ma knees* Plz Be Mine @D_diva72: @KingDavid_d1st im unmarried...*checks my finger*...there's no rock on it :)""",knee plz mine ddiva72 kingdavidd1st im unmarriedchecks fingerthere rock
neg,@Virgin_TrainsEC unfortunately the only seats left were in coach K so we'll have to party quietly :( ^DH,virgintrainsec unfortunately seat left coach k party quietly dh
pos,"After a long day/week, #Viparita #Karani (#LegsUpTheWall) is the perfect pose to unwind... EnJOY!!! :-) http://t.co/VGoOFhLeqr",long dayweek viparita karani legsupthewall perfect pose unwind enjoy
pos,@medinitalopez I will ^^ thanks bae :),medinitalopez thanks bae
pos,"@amerz ah, the memories. :)",amerz ah memory
pos,just boughy @AaronSegaert EX kernel manager. Love the old version and the new one is even better. :) https://t.co/xgmaUZcYYf,boughy aaronsegaert ex kernel manager love old version new one even well
pos,I was jealous because you're my bestfriend and you're so close to her. :)),jealous bestfriend close
pos,Fine day :) https://t.co/VxnsjOVZdm,fine day
neg,Lolliver!!!!! :(,lolliver
neg,"@LANISeanDon my brothers do that, I gets pissed off :(",laniseandon brother get pissed
neg,But but Mr Ahmad Maslan cooks too :( https://t.co/ArCiD31Zv6,mr ahmad maslan cook
neg,liceooooo :(,liceooooo
pos,"@alanscottwoods Thanks for the heads up, but no ear defenders we're ready to listen :) (btw if you're calling on a mobile use 0330 333 7234)",alanscottwoods thanks head ear defender ready listen btw call mobile use 0330 333 7234
neg,3:30am walk down Inglewood ummm bad idea :( ugh stupid anxiety,330am walk inglewood ummm bad idea ugh stupid anxiety
neg,@CraftaBelle I very jokingly said it with no seriousness :(,craftabelle jokingly say seriousness
pos,You Lose :D,lose
pos,@somanygods human beings ARE NOT mere brain...u need a more holistic cosmovision...too narrow-minded :),somanygods human being mere brainu need holistic cosmovisiontoo narrowminded
neg,@imdanielpadilla hi!!!!!! love u :( :(,imdanielpadilla hi love u
neg,@cadburysilk I have no one who will gift this to me :( *Feeling jealous *,cadburysilk one gift feeling jealous
neg,@itsdemigdr ma come :-(,itsdemigdr come
neg,@prattmouserat poor kiddo :(,prattmouserat poor kiddo
pos,"Hi @dluxjed, thanks for connecting. We specialise in thermal imaging surveys – here if you need us :)",hi dluxjed thanks connect specialise thermal image survey need u
neg,weak at dom :( DOM TECHNIQUES?! https://t.co/5WyrdvjzSf,weak dom dom technique
neg,I miss my brown hair :(,miss brown hair
neg,Their 1st week digital point is decent. And so does their physical album point :((( wae,1st week digital point decent physical album point wae
neg,@cabeIlovato wtf body goals :(,cabeilovato wtf body goal
neg,@swgzl do you not like ballads :-( i think it emphasis their vocals a lot so im happy they chose to promote one,swgzl like ballad think emphasis vocal lot im happy choose promote one
pos,@SpazzyTsukihara hehehehe thats the point :p,spazzytsukihara hehehehe thats point p
pos,@bergsplace @RunJumpScrap @thatchamdad @simplybeingmum @loopyrach @Deardads1979 @mummyvsdaddy @harryshonestmum thank you :),bergsplace runjumpscrap thatchamdad simplybeingmum loopyrach deardads1979 mummyvsdaddy harryshonestmum thank
neg,"i miss everything about you"":(",miss everything
pos,Playing V.ball ATM :),play vball atm
neg,"#RIPRishikeshwari.
Your soul rest in peace.
:(",riprishikeshwari soul rest peace
pos,@miccoelaine @KRMN4L nice dave :D,miccoelaine krmn4l nice dave
neg,"@Napolitano29 i wish i was there too! :(
but we have to have faith that we'll meet Sam and Kurt one day! one day...",napolitano29 wish faith meet sam kurt one day one day
pos,"@itsAllieFx If you need someone to talk to, I am always here :) Keep your head up.",itsalliefx need someone talk always keep head
pos,Goodafternoon :)) Gudday~,goodafternoon gudday
pos,Thanks @Stn_Ang :) ! #FFBack @SebIscariote @Ninoiudi @IR5_Cooder @twhiitney @pirlouit_be @Montishow @katiaely @EnglebertKo,thanks stnang ffback sebiscariote ninoiudi ir5cooder twhiitney pirlouitbe montishow katiaely englebertko
pos,@marilynemy_ good night :),marilynemy good night
pos,@GET_TUDA_CHOPPA from all over the place I hope :) I’m a pro at remote work AND traveling ;),gettudachoppa place hope pro remote work travel
neg,@_orrhettofrappe they don't know how to make linis kasi :((( so sad. that's why im sweating kanina and it's so init pa huhu,orrhettofrappe know make linis kasi sad im sweat kanina init pa huhu
neg,well that isn't helpful/sensible etc... :( #Brum #cyclerevolution https://t.co/yb1im79Tye,well helpfulsensible etc brum cyclerevolution
pos,Lol :D Hilarious :D https://t.co/iUbE0qmIXp,lol hilarious
pos,@TradeboxMedia Thanks. :-),tradeboxmedia thanks
neg,Sucky Saturday!! :(,sucky saturday
neg,I want to be friends with them and go to concerts :((( @camilacabello97 @LaurenJauregui http://t.co/TtBSmyLS2N,want friend go concert camilacabello97 laurenjauregui
neg,VIDCON :((,vidcon
pos,The Flash... All day long :),flash day long
pos,The moment I decide to log onto the account I haven't been on in years is the moment I saw the best thing ever :) http://t.co/pu6B5jodur,moment decide log onto account year moment saw best thing ever
pos,Have a great session @BeckieJPhoto. Hope you've got that #fridayfeeling :-),great session beckiejphoto hope get fridayfeeling
neg,@21dadoongie yes hopefully next year :((,21dadoongie yes hopefully next year
neg,@dearestdaryl @hjoldr cream pinay pie soup :(,dearestdaryl hjoldr cream pinay pie soup
neg,@bbcweather My camping trip starts on Saturday in Somerset...looking good! ...Sunday though is a different story... :-(,bbcweather camp trip start saturday somersetlooking good sunday though different story
pos,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",martyrafenstein hey marty glad see twitter
pos,@dualityknight @bravefrontiergl lol sorry /-\ ultor is my very first hitter so...i favor him too much :)),dualityknight bravefrontiergl lol sorry ultor first hitter soi favor much
pos,Walk Back From The Breach .... :))) http://t.co/iZHXKoABi8,walk back breach
neg,@taimoor_mahmood taimoor Meray dost :(,taimoormahmood taimoor meray dost
neg,Screenshots from http://t.co/U2RdUgq6wH there's a competition open to meet ariana grande some countries excluded :( http://t.co/OdI14ms8NR,screenshots competition open meet ariana grande country exclude
pos,Hot Air Balloon Festival! :) http://t.co/xKM797Hj60 #retweet,hot air balloon festival retweet
neg,SAY NO To EXAM!!!!!! exam na sa lunes at martes :(,say exam exam na sa lunes martes
pos,@ely83_ely definately agree that it's a growing sport. Drop me an email with details and we can see what we can do :-),ely83ely definately agree grow sport drop email detail see
pos,@EvokingMaster *dies whilst hugging an Aki* yaaay! :D,evokingmaster die whilst hug aki yaaay
neg,I love blue eyes :(,love blue eye
pos,A year ago I married my first love and my best friend.  Thanks for an amazing year Glenn!  I love being your wife! :) http://t.co/CbiP1LHLuc,year ago marry first love best friend thanks amaze year glenn love wife
neg,Need a small lady to walk over my back. So sore.... :((((,need small lady walk back sore
pos,.@1234Mania #jedzjabłka or #pijjabłka - whatever :) This article re Polish cider by @AB_Chapman is a #MustRead anyway @nawacki @TheEconomist,1234mania jedzjabłka pijjabłka whatever article polish cider abchapman mustread anyway nawacki theeconomist
neg,This weather isn't making me want to go to the gym at all..... :-(,weather making want go gym
neg,@AppleMusic why does my music keep pausing randomly? It's the only app open :(,applemusic music keep pause randomly app open
pos,@LaurakBuzz lovely write up :) I absolutely adore the NVA and am lucky enough to live 5 minuets away. Roll in GameCity!,laurakbuzz lovely write absolutely adore nva lucky enough live 5 minuet away roll gamecity
pos,Achieving excellence in Music as a Music Producer is a Mind Boggling &amp; Fatiguing Job... Baareeq... :) :) :),achieve excellence music music producer mind boggle amp fatigue job baareeq
pos,@catisbetter666 thanks :),catisbetter666 thanks
neg,"@Scruffbucket IsTanya going2supply all d EXTRA infrastructure,teachers,doctors,nurses,paramedics&amp;other countless things2cope with it all?&gt;:(",scruffbucket istanya going2supply extra infrastructureteachersdoctorsnursesparamedicsampother countless things2cope allgt
pos,No class today but I traine with some friends :),class today traine friend
neg,"@Austin_Love_AM FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",austinloveam follow thanks justinbieber please follow
neg,Nakaka Beastmode. I lost my ID :(,nakaka beastmode lose id
neg,@Uber_Chennai @AmadoraGourmIce no delivery in chrompet is it ?? :(,uberchennai amadoragourmice delivery chrompet
pos,@ManningOfficial @GarrJPRBDF @PsycheDK I'm sure that that Tapir calf isn't the only one who likes to be adventurous at mealtimes :),manningofficial garrjprbdf psychedk sure tapir calf one like adventurous mealtime
neg,@DSLewisUK you know :(,dslewisuk know
neg,@DestinyNews_net Bungie not nice to us folk in the rest of the world. :(,destinynewsnet bungie nice u folk rest world
pos,@Gurmeetramrahim #OurDaughtersOurPride #mypapamypride Proud of You Papa Coach :),gurmeetramrahim ourdaughtersourpride mypapamypride proud papa coach
neg,Bitin :( @JatheaRebels,bitin jathearebels
pos,"""Day In Life""-video uppe om 60 minuter! :D",day lifevideo uppe om 60 minuter
pos,That awkward moment when you feel that you got abs Because you can't stop laughing reading @ExcuseThePuns_ 's tweets :D,awkward moment feel get abs stop laugh read excusethepuns tweet
pos,@sugarplumsteve or she can just win bob :) :),sugarplumsteve win bob
pos,"@ZedDBA It was ""Currys"". They were close to home. :)",zeddba curry close home
neg,i wanted to stay up till infinite's win but it's 5:30am already :(,want stay till infinites win 530am already
pos,@alElizabeth Appreciate the follow :) have you heard of our botanical soaps?,alelizabeth appreciate follow heard botanical soap
pos,drama korea 49 days.:),drama korea 49 day
neg,Having boring time :( don't know what to do.....,boring time know
neg,@daddyksoo and yes its been a while vicky omg :-(((((,daddyksoo yes vicky omg
neg,Ugh :( My head hurts.,ugh head hurt
pos,@justinbieber it makesme happy to see this :) keep smiling we love u,justinbieber makesme happy see keep smile love u
neg,@LaEtchi unfortunately yours smells like doo doo :(,laetchi unfortunately smell like doo doo
neg,@ellegowers ahaha I'm laying on my bed like WHYYYYYY. The pretty wine glasses sucked me in :(,ellegowers ahaha lay bed like whyyyyyy pretty wine glass suck
pos,"You always be part of me, I am part of you and defenitely...♬ @MOHDBINTANG :p",always part part defenitely♬ mohdbintang p
neg,@Aimeemuthoni I miss you :( Still in Juja?,aimeemuthoni miss still juja
pos,"@BigMammaJosie lil bitch, Heiya, visit my site if u wanna grab a FREE 30.000 8 Ball Pool Coins. Thank you :)",bigmammajosie lil bitch heiya visit site u wan na grab free 30000 8 ball pool coin thank
pos,Gym Monday can't wait :). Likes,gym monday wait like
pos,@basementgalaxy Ping! I'm watching your TL like a hawk! :D,basementgalaxy ping watch tl like hawk
neg,"@ollgbroxei sc, longe :(",ollgbroxei sc longe
pos,"hot cosplayers: :)
hot cosplayers that kiss in ur fav pairing: 8)",hot cosplayers hot cosplayers kiss ur fav pair 8
pos,@sagar_meenakshi @neha8192 @AshviniYardi Hoping for a Grand SidNi Remarriage on the occasion of 1 year completion!! Congratulations! :),sagarmeenakshi neha8192 ashviniyardi hop grand sidni remarriage occasion 1 year completion congratulation
neg,Oh how horrific :( https://t.co/IObpbythB8,oh horrific
pos,@ungiftedfuck thanks :),ungiftedfuck thanks
pos,@lvshak @AllysonMarty anytime :),lvshak allysonmarty anytime
pos,@itsmebianca_01 thank you! :),itsmebianca01 thank
neg,"@CherylWalmsley hmmm, they always have so much sugar in them, I rarely make them. Sorry I couldn't help. :(",cherylwalmsley hmmm always much sugar rarely make sorry could help
neg,@celine_s16 I don't think you would like the answer to this question :(,celines16 think would like answer question
pos,Congrats to all of us ! :D https://t.co/qZm1Hbxtha,congrats u
pos,We are thrilled to be on our first international assignment as aerial camera operators....Wales here we come #Boom : ) Never forget to smile,thrill first international assignment aerial camera operatorswales come boom never forget smile
pos,@reporterroya Read some reviews and it sounds awesome. Thanks for the suggestion :),reporterroya read review sound awesome thanks suggestion
pos,Goodbye twitter. I will not be there for a long time. :),goodbye twitter long time
neg,@boutagirrl I asked my sister and she said no and neither of my parents have it so like :-(,boutagirrl ask sister say neither parent like
