label,text,clean_text,len_before_chars,len_after_chars
neg,"@biobio1993 ohh. :( well, you know where to find me if you change your mind. (but maybe it's not even someone I'm close with so... xD)",biobio1993 ohh well know find change mind maybe even someone im close xd,134,72
pos,"Thanks mommy teret for this :) (Y) :) #Potassium #Rehydrate #DrinkitAllup #ThirstQuencher https://t.co/uLORa2tssO",thanks mommy teret potassium rehydrate drinkitallup thirstquencher httpstcoulora2tsso,115,85
pos,Thank you. Have a lovely weekend everyone. :-)) https://t.co/1CcpcLlzic,thank lovely weekend everyone httpstco1ccpcllzic,71,48
neg,@FATMA_TEARS me too :(,fatmatears,22,10
pos,@goldennotebook @JohnEMichel @kellyalovell Thanks Lisa :),goldennotebook johnemichel kellyalovell thanks lisa,57,51
neg,My KIK - thessidew877 #kik #kikmeguys #FaceTime #omegle #Bored #quote #sexi :( http://t.co/ikWtd54Om2,kik thessidew877 kik kikmeguys facetime omegle bore quote sexi httptcoikwtd54om2,101,80
pos,@TheYingster @cristianavai3 @AFCGraMaChroi @Goonerlover69 @iWaveBack Lol it's very tiring being this good looking. :),theyingster cristianavai3 afcgramachroi goonerlover69 iwaveback lol tire good look,117,82
pos,"If you're reading this, you're beautiful. 
Like this if you just read this :)",youre read youre beautiful like read,77,36
pos,@mullingfrackle fback? :),mullingfrackle fback,25,20
neg,@iperfectyonce @justinbieber its my biggest dream can u follow me brooo :((((,iperfectyonce justinbieber big dream u follow brooo,77,51
neg,So this is Heartache? :(,heartache,24,9
neg,@Brooklyyyyyyyn :( okay this is the worst,brooklyyyyyyyn okay bad,41,23
pos,"@JessLarum @mdoyle08 haha WHATEVS, JESS! we all know you thought surry hills was near botany! :)",jesslarum mdoyle08 haha whatevs jess know think surry hill near botany,96,70
pos,"@AndyHerren I know how dumb, did she think of that on her own. But Johnny does rock have u seen his utube video's?  Mad Respect! :D",andyherren know dumb think johnny rock u see utube video mad respect,131,68
pos,@HannesHolste thank you for making my tweet a favourite :-),hannesholste thank make tweet favourite,59,39
pos,@mrslatrisha @KFerrellWriter http://t.co/KmhdqcIWdm :)  -Mary,mrslatrisha kferrellwriter httptcokmhdqciwdm mary,61,49
neg,@changkyunaf AHH WHY HE NO CHANGE IT SOUNDS COOLER :(( LMAO YES 2 MINHYUKS,changkyunaf ahh change sound cool lmao yes 2 minhyuks,74,53
pos,@NotThatBobJames Hahaha Go Doug! :-),notthatbobjames hahaha go doug,36,30
neg,:( :( I'm gonna cry,im gon na cry,19,13
neg,Really don't like Demi's new song/ video :(,really dont like demis new song video,43,37
neg,"Valentine et al found r'ships btwn homo/biphobic comments &amp; certain disciplines - incl. European langs, lit, education :( #fresherstofinals",valentine et al find rships btwn homobiphobic comment amp certain discipline incl european langs lit education fresherstofinals,143,127
neg,Well it's absolutely chuckin it down in 'ampsha :( #Rain #Rain #Rain,well absolutely chuckin ampsha rain rain rain,68,45
pos,"@SazzylSquires Thank you very much lovely, I'm really pleased you did :)",sazzylsquires thank much lovely im really pleased,72,49
neg,Finding a good conference hotel in London is tricky! They are all too small :(,find good conference hotel london tricky small,78,46
pos,@gculloty87 @linda_regan @retrodramafans Yeah! She plays the pretty girl at the bus stop :) X,gculloty87 lindaregan retrodramafans yeah play pretty girl bus stop x,93,69
pos,@jackgilinsky Hiii Jack :) ily ✨✨✨,jackgilinsky hiii jack ily ✨✨✨,34,30
pos,"Yup, happen everywhere when people cant debate they come to name calling :-)  https://t.co/dRiMWpj7ON",yup happen everywhere people cant debate come name call httpstcodrimwpj7on,101,74
neg,"@Cro_Marta FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",cromarta follow thanks justinbieber please follow,74,49
pos,@StephanieAlys That's great Stephanie! Good luck with your training :) #findyourfit,stephaniealys thats great stephanie good luck training findyourfit,83,66
pos,@iretrogame @RetroGamerProbs @RETR0JOE @gamesyouloved @JuicyGameReview nice to see some emulation being brought up :),iretrogame retrogamerprobs retr0joe gamesyouloved juicygamereview nice see emulation bring,117,90
pos,With them :),,12,0
pos,@riiiyyaaaaa oKKay :)),riiiyyaaaaa okkay,22,17
neg,Why does it have to rain :(,rain,27,4
neg,Someone sc me :(,someone sc,16,10
neg,No one is brave enough to watch all my snapchat story :(,one brave enough watch snapchat story,56,37
pos,Low priority match :) hahaha,low priority match hahaha,28,25
neg,@nicefurby my dad said no sorry :(,nicefurby dad say sorry,34,23
pos,I'd planned to do a nice scamper but I slept through my alarm. For two hours. I suppose I needed the sleep so I ain't mad :),id plan nice scamper sleep alarm two hour suppose need sleep aint mad,124,69
neg,I'm  thirstyyyy :(,im thirstyyyy,18,13
pos,Wacky :D https://t.co/UThCcBQnKD,wacky httpstcouthccbqnkd,32,24
pos,"I'm not the best, not the most perfect, but I promise to love you with my whole heart. :)",im best perfect promise love whole heart,89,40
neg,@angelhairhes i dont have snapchat :(,angelhairhes dont snapchat,37,26
pos,@ShawnMendes turning 17 in 15 days...omg. at least we have only 3 years difference :),shawnmendes turn 17 15 daysomg least 3 year difference,85,54
neg,Sending. Finally!!!!!!!!!!!!!! :(,send finally,33,12
pos,#FF #HappyFriday @szekifer @phattony138 @djchiavistelli @DJ_CharlieD @Paul___Rayner the weekend is nearly here :-),ff happyfriday szekifer phattony138 djchiavistelli djcharlied paulrayner weekend nearly,114,87
pos,#welcomeTweet @VortexiK13 @urbndictionaryy @noralewis25 hi! thanks for following! just ask for a follow back :-) via http://t.co/ubXKOjpBez,welcometweet vortexik13 urbndictionaryy noralewis25 hi thanks follow ask follow back via httptcoubxkojpbez,139,106
neg,@TheStonePilot sorry :(,thestonepilot sorry,23,19
pos,@AwesomeAngel40 Congratulations :-) x,awesomeangel40 congratulation x,37,31
neg,"More sick Mumma, sick Bubba cuddles :(  Cuddling on the floor to the footy and she falls asleep.… https://t.co/to6pXX7iuU",sick mumma sick bubba cuddle cuddle floor footy fall asleep httpstcoto6pxx7iuu,121,78
neg,GUYS add my KIK - thelock76 #kik #kiksexting #sex #omegle #couple #travel #hotgirls :( http://t.co/Dn6agZcPhd,guy add kik thelock76 kik kiksexting sex omegle couple travel hotgirls httptcodn6agzcphd,109,88
neg,@AYINAJ__ why you only got half :(((,ayinaj get half,36,15
pos,@neiltyson What are your thought's on Kepler 452b? :D,neiltyson thought kepler 452b,53,29
pos,@ffsjason I'm not. datz you. :-),ffsjason im datz,32,16
neg,"@ITVCentral #Midlands Yes thanks for the depressing weather forecast, where the word 'rain' was mentioned several times :-(",itvcentral midland yes thanks depress weather forecast word rain mention several time,123,85
pos,"@JewelStaite Funny, but yes too soon. It's always going to be too soon. :D",jewelstaite funny yes soon always go soon,74,41
neg,To com insonia :(,com insonia,17,11
neg,Looks like it's finally time to get rid of the old 2500k :( https://t.co/WvQhzYxJuc,look like finally time get rid old 2500k httpstcowvqhzyxjuc,83,59
neg,omg me every fucking month... :( https://t.co/FX0CGVPDMX,omg every fuck month httpstcofx0cgvpdmx,56,39
pos,@starksmurdock AHH THANK U :D,starksmurdock ahh thank u,29,25
pos,@KatCrisp1 Thanks for taking time to tweet this Kat :),katcrisp1 thanks take time tweet kat,54,36
neg,@AfraidN0T then it might be hard to get into Final Fantasy then cause the newer ones are pish in comparison :( get the remastered 10 for ps4,afraidn0t might hard get final fantasy cause new one pish comparison get remastered 10 ps4,140,90
neg,@VoxHiberionacum It most certainly is a theme issue - but we've tested on a range of devices w/ different browsers and OS :-(,voxhiberionacum certainly theme issue weve test range device w different browser os,125,83
neg,@ashtonboyf IMS OSAD :-(,ashtonboyf ims osad,24,19
neg,i thought this is my best day but it's not. no paper towns today :(,thought best day paper town today,67,33
neg,my eyes want to sleep but the rest of me doesn't. :( This is bad.,eye want sleep rest doesnt bad,65,30
pos,@GemfeedOfficial Thanks for retweet :),gemfeedofficial thanks retweet,38,30
pos,"*on ma knees* Plz Be Mine @D_diva72: @KingDavid_d1st im unmarried...*checks my finger*...there's no rock on it :)""",knee plz mine ddiva72 kingdavidd1st im unmarriedchecks fingertheres rock,114,72
neg,@Virgin_TrainsEC unfortunately the only seats left were in coach K so we'll have to party quietly :( ^DH,virgintrainsec unfortunately seat left coach k well party quietly dh,104,68
pos,"After a long day/week, #Viparita #Karani (#LegsUpTheWall) is the perfect pose to unwind... EnJOY!!! :-) http://t.co/VGoOFhLeqr",long dayweek viparita karani legsupthewall perfect pose unwind enjoy httptcovgoofhleqr,126,86
pos,@medinitalopez I will ^^ thanks bae :),medinitalopez thanks bae,38,24
pos,"@amerz ah, the memories. :)",amerz ah memory,27,15
pos,just boughy @AaronSegaert EX kernel manager. Love the old version and the new one is even better. :) https://t.co/xgmaUZcYYf,boughy aaronsegaert ex kernel manager love old version new one even well httpstcoxgmauzcyyf,124,91
pos,I was jealous because you're my bestfriend and you're so close to her. :)),jealous youre bestfriend youre close,74,36
pos,Fine day :) https://t.co/VxnsjOVZdm,fine day httpstcovxnsjovzdm,35,27
neg,Lolliver!!!!! :(,lolliver,16,8
neg,"@LANISeanDon my brothers do that, I gets pissed off :(",laniseandon brother get pissed,54,30
neg,But but Mr Ahmad Maslan cooks too :( https://t.co/ArCiD31Zv6,mr ahmad maslan cook httpstcoarcid31zv6,60,39
neg,liceooooo :(,liceooooo,12,9
pos,"@alanscottwoods Thanks for the heads up, but no ear defenders we're ready to listen :) (btw if you're calling on a mobile use 0330 333 7234)",alanscottwoods thanks head ear defender ready listen btw youre call mobile use 0330 333 7234,140,92
neg,3:30am walk down Inglewood ummm bad idea :( ugh stupid anxiety,330am walk inglewood ummm bad idea ugh stupid anxiety,62,53
neg,@CraftaBelle I very jokingly said it with no seriousness :(,craftabelle jokingly say seriousness,59,36
pos,You Lose :D,lose,11,4
pos,@somanygods human beings ARE NOT mere brain...u need a more holistic cosmovision...too narrow-minded :),somanygods human being mere brainu need holistic cosmovisiontoo narrowminded,103,76
neg,@imdanielpadilla hi!!!!!! love u :( :(,imdanielpadilla hi love u,38,25
neg,@cadburysilk I have no one who will gift this to me :( *Feeling jealous *,cadburysilk one gift feeling jealous,73,36
neg,@itsdemigdr ma come :-(,itsdemigdr come,23,15
neg,@prattmouserat poor kiddo :(,prattmouserat poor kiddo,28,24
pos,"Hi @dluxjed, thanks for connecting. We specialise in thermal imaging surveys – here if you need us :)",hi dluxjed thanks connect specialise thermal image survey need u,101,64
neg,weak at dom :( DOM TECHNIQUES?! https://t.co/5WyrdvjzSf,weak dom dom technique httpstco5wyrdvjzsf,55,41
neg,I miss my brown hair :(,miss brown hair,23,15
neg,Their 1st week digital point is decent. And so does their physical album point :((( wae,1st week digital point decent physical album point wae,87,54
neg,@cabeIlovato wtf body goals :(,cabeilovato wtf body goal,30,25
neg,@swgzl do you not like ballads :-( i think it emphasis their vocals a lot so im happy they chose to promote one,swgzl like ballad think emphasis vocal lot im happy choose promote one,111,70
pos,@SpazzyTsukihara hehehehe thats the point :p,spazzytsukihara hehehehe thats point p,44,38
pos,@bergsplace @RunJumpScrap @thatchamdad @simplybeingmum @loopyrach @Deardads1979 @mummyvsdaddy @harryshonestmum thank you :),bergsplace runjumpscrap thatchamdad simplybeingmum loopyrach deardads1979 mummyvsdaddy harryshonestmum thank,123,108
neg,"i miss everything about you"":(",miss everything,30,15
pos,Playing V.ball ATM :),play vball atm,21,14
neg,"#RIPRishikeshwari.
Your soul rest in peace.
:(",riprishikeshwari soul rest peace,46,32
pos,@miccoelaine @KRMN4L nice dave :D,miccoelaine krmn4l nice dave,33,28
neg,"@Napolitano29 i wish i was there too! :(
but we have to have faith that we'll meet Sam and Kurt one day! one day...",napolitano29 wish faith well meet sam kurt one day one day,115,58
pos,"@itsAllieFx If you need someone to talk to, I am always here :) Keep your head up.",itsalliefx need someone talk always keep head,82,45
pos,Goodafternoon :)) Gudday~,goodafternoon gudday,25,20
pos,Thanks @Stn_Ang :) ! #FFBack @SebIscariote @Ninoiudi @IR5_Cooder @twhiitney @pirlouit_be @Montishow @katiaely @EnglebertKo,thanks stnang ffback sebiscariote ninoiudi ir5cooder twhiitney pirlouitbe montishow katiaely englebertko,122,104
pos,@marilynemy_ good night :),marilynemy good night,26,21
pos,@GET_TUDA_CHOPPA from all over the place I hope :) I’m a pro at remote work AND traveling ;),gettudachoppa place hope im pro remote work travel,92,50
neg,@_orrhettofrappe they don't know how to make linis kasi :((( so sad. that's why im sweating kanina and it's so init pa huhu,orrhettofrappe dont know make linis kasi sad thats im sweat kanina init pa huhu,123,79
neg,well that isn't helpful/sensible etc... :( #Brum #cyclerevolution https://t.co/yb1im79Tye,well isnt helpfulsensible etc brum cyclerevolution httpstcoyb1im79tye,89,69
pos,Lol :D Hilarious :D https://t.co/iUbE0qmIXp,lol hilarious httpstcoiube0qmixp,43,32
pos,@TradeboxMedia Thanks. :-),tradeboxmedia thanks,26,20
neg,Sucky Saturday!! :(,sucky saturday,19,14
neg,I want to be friends with them and go to concerts :((( @camilacabello97 @LaurenJauregui http://t.co/TtBSmyLS2N,want friend go concert camilacabello97 laurenjauregui httptcottbsmyls2n,110,71
neg,VIDCON :((,vidcon,10,6
pos,The Flash... All day long :),flash day long,28,14
pos,The moment I decide to log onto the account I haven't been on in years is the moment I saw the best thing ever :) http://t.co/pu6B5jodur,moment decide log onto account havent year moment saw best thing ever httptcopu6b5jodur,136,87
pos,Have a great session @BeckieJPhoto. Hope you've got that #fridayfeeling :-),great session beckiejphoto hope youve get fridayfeeling,75,55
neg,@21dadoongie yes hopefully next year :((,21dadoongie yes hopefully next year,40,35
neg,@dearestdaryl @hjoldr cream pinay pie soup :(,dearestdaryl hjoldr cream pinay pie soup,45,40
neg,@bbcweather My camping trip starts on Saturday in Somerset...looking good! ...Sunday though is a different story... :-(,bbcweather camp trip start saturday somersetlooking good sunday though different story,119,86
pos,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",martyrafenstein hey marty glad see twitter,58,42
pos,@dualityknight @bravefrontiergl lol sorry /-\ ultor is my very first hitter so...i favor him too much :)),dualityknight bravefrontiergl lol sorry ultor first hitter soi favor much,105,73
pos,Walk Back From The Breach .... :))) http://t.co/iZHXKoABi8,walk back breach httptcoizhxkoabi8,58,34
neg,@taimoor_mahmood taimoor Meray dost :(,taimoormahmood taimoor meray dost,38,33
neg,Screenshots from http://t.co/U2RdUgq6wH there's a competition open to meet ariana grande some countries excluded :( http://t.co/OdI14ms8NR,screenshots httptcou2rdugq6wh there competition open meet ariana grande country exclude httptcoodi14ms8nr,138,105
pos,Hot Air Balloon Festival! :) http://t.co/xKM797Hj60 #retweet,hot air balloon festival httptcoxkm797hj60 retweet,60,50
neg,SAY NO To EXAM!!!!!! exam na sa lunes at martes :(,say exam exam na sa lunes martes,50,32
pos,@ely83_ely definately agree that it's a growing sport. Drop me an email with details and we can see what we can do :-),ely83ely definately agree grow sport drop email detail see,118,58
pos,@EvokingMaster *dies whilst hugging an Aki* yaaay! :D,evokingmaster die whilst hug aki yaaay,53,38
neg,I love blue eyes :(,love blue eye,19,13
pos,A year ago I married my first love and my best friend.  Thanks for an amazing year Glenn!  I love being your wife! :) http://t.co/CbiP1LHLuc,year ago marry first love best friend thanks amaze year glenn love wife httptcocbip1lhluc,140,89
neg,Need a small lady to walk over my back. So sore.... :((((,need small lady walk back sore,57,30
pos,.@1234Mania #jedzjabłka or #pijjabłka - whatever :) This article re Polish cider by @AB_Chapman is a #MustRead anyway @nawacki @TheEconomist,1234mania jedzjabłka pijjabłka whatever article polish cider abchapman mustread anyway nawacki theeconomist,140,107
neg,This weather isn't making me want to go to the gym at all..... :-(,weather isnt making want go gym,66,31
neg,@AppleMusic why does my music keep pausing randomly? It's the only app open :(,applemusic music keep pause randomly app open,78,45
pos,@LaurakBuzz lovely write up :) I absolutely adore the NVA and am lucky enough to live 5 minuets away. Roll in GameCity!,laurakbuzz lovely write absolutely adore nva lucky enough live 5 minuet away roll gamecity,119,90
pos,Achieving excellence in Music as a Music Producer is a Mind Boggling &amp; Fatiguing Job... Baareeq... :) :) :),achieve excellence music music producer mind boggle amp fatigue job baareeq,111,75
pos,@catisbetter666 thanks :),catisbetter666 thanks,25,21
neg,"@Scruffbucket IsTanya going2supply all d EXTRA infrastructure,teachers,doctors,nurses,paramedics&amp;other countless things2cope with it all?&gt;:(",scruffbucket istanya going2supply extra infrastructureteachersdoctorsnursesparamedicsampother countless things2cope allgt,147,121
pos,No class today but I traine with some friends :),class today traine friend,48,25
neg,"@Austin_Love_AM FOLLOWED ME THANKS, AND
@justinbieber PLEASE FOLLOWED ME TOO :(",austinloveam follow thanks justinbieber please follow,79,53
neg,Nakaka Beastmode. I lost my ID :(,nakaka beastmode lose id,33,24
neg,@Uber_Chennai @AmadoraGourmIce no delivery in chrompet is it ?? :(,uberchennai amadoragourmice delivery chrompet,66,45
pos,@ManningOfficial @GarrJPRBDF @PsycheDK I'm sure that that Tapir calf isn't the only one who likes to be adventurous at mealtimes :),manningofficial garrjprbdf psychedk im sure tapir calf isnt one like adventurous mealtime,131,89
neg,@DSLewisUK you know :(,dslewisuk know,22,14
neg,@DestinyNews_net Bungie not nice to us folk in the rest of the world. :(,destinynewsnet bungie nice u folk rest world,72,44
pos,@Gurmeetramrahim #OurDaughtersOurPride #mypapamypride Proud of You Papa Coach :),gurmeetramrahim ourdaughtersourpride mypapamypride proud papa coach,80,67
neg,Bitin :( @JatheaRebels,bitin jathearebels,22,18
